logical_bit,source_bit,step,src_wire,dst_wire,evidence
0,0,0,X13Y12_BufMUX10,X13Y12_InputMUX11,vendor-ahbraddr32
0,0,1,X13Y12_InputMUX11,X14Y12_RMUX86,vendor-ahbraddr32
0,0,2,X14Y12_RMUX86,X13Y12_BBMUXE02,vendor-ahbraddr32
0,0,3,X13Y12_BBMUXE02,X0Y5_SinkMUXPseudo02,vendor-ahbraddr32
1,1,0,X13Y12_BufMUX11,X13Y12_InputMUX10,vendor-ahbraddr32
1,1,1,X13Y12_InputMUX10,X14Y12_RMUX74,vendor-ahbraddr32
1,1,2,X14Y12_RMUX74,X15Y12_RMUX03,vendor-ahbraddr32
1,1,3,X15Y12_RMUX03,X14Y12_RMUX20,vendor-ahbraddr32
1,1,4,X14Y12_RMUX20,X13Y12_BBMUXE03,vendor-ahbraddr32
1,1,5,X13Y12_BBMUXE03,X0Y5_SinkMUXPseudo03,vendor-ahbraddr32
28,28,0,X13Y11_BufMUX18,X14Y11_RMUX90,vendor-ahbraddr32
28,28,1,X14Y11_RMUX90,X13Y11_BBMUXW03,vendor-ahbraddr32
28,28,2,X13Y11_BBMUXW03,X0Y5_SinkMUXPseudo30,vendor-ahbraddr32
29,29,0,X13Y11_BufMUX19,X14Y11_RMUX72,vendor-ahbraddr32
29,29,1,X14Y11_RMUX72,X13Y11_BBMUXW04,vendor-ahbraddr32
29,29,2,X13Y11_BBMUXW04,X0Y5_SinkMUXPseudo31,vendor-ahbraddr32
30,30,0,X13Y10_BufMUX00,X13Y10_InputMUX01,vendor-ahbraddr32
30,30,1,X13Y10_InputMUX01,X14Y10_RMUX19,vendor-ahbraddr32
30,30,2,X14Y10_RMUX19,X14Y11_RMUX78,vendor-ahbraddr32
30,30,3,X14Y11_RMUX78,X13Y11_BBMUXW05,vendor-ahbraddr32
30,30,4,X13Y11_BBMUXW05,X0Y5_SinkMUXPseudo32,vendor-ahbraddr32
31,31,0,X13Y10_BufMUX01,X13Y10_InputMUX00,vendor-ahbraddr32
31,31,1,X13Y10_InputMUX00,X14Y10_RMUX07,vendor-ahbraddr32
31,31,2,X14Y10_RMUX07,X14Y9_RMUX25,vendor-ahbraddr32
31,31,3,X14Y9_RMUX25,X14Y11_RMUX06,vendor-ahbraddr32
31,31,4,X14Y11_RMUX06,X13Y11_BBMUXW06,vendor-ahbraddr32
31,31,5,X13Y11_BBMUXW06,X0Y5_SinkMUXPseudo33,vendor-ahbraddr32
